Parent,total_capacity,num_plants,avg_age,num_countries,ISO 14001_avg,ISO 50001_avg,ResponsibleSteel Certification_avg,Latitude_centroid,Longitude_centroid,Latitude_largest,Longitude_largest
ABA Çelik Demir LŞ [100.0%],0.0,1,42.0,1,,,,36.747413,36.21733,36.747413,36.21733
ADV Partners Holdings Ltd,450.0,1,12.86,1,,,,14.873471,78.048425,14.873471,78.048425
Abba Steel Ltd [100.0%],0.0,1,,1,,,,-17.397866,15.891022,-17.397866,15.891022
Abei Energy; Helvella Holding; Russula SA; Siemens AG,0.0,1,,1,,,,38.688849,-4.107015,38.688849,-4.107015
Abu Dhabi National for Building Materials Co PJSC [100.0%],0.0,1,,1,,,,24.37872,54.475153,24.37872,54.475153
Abul Khair Ltd,0.0,1,10.0,1,,,,22.472008,91.734827,22.472008,91.734827
Acciaierie Venete SpA [100.0%],0.0,3,46.0,1,,,,45.70568033333333,11.185377666666668,46.049182,11.440394
Acerinox SA [100.0%],0.0,2,45.0,2,,,,37.453552,-45.2513205,36.181686,-5.426626
Acerinox SA [76.0%]; Industrial Development Corporation of South Africa Ltd [24.0%],0.0,1,59.0,1,,,,-25.796313,29.497972,-25.796313,29.497972
Aceros Turia Inc,0.0,1,49.0,1,,,,30.08201,-94.074694,30.08201,-94.074694
Action Ispat and Power Pvt Ltd [100.0%],0.0,1,,1,,,,21.839759,83.982227,21.839759,83.982227
African Industries Ltd,5400.0,1,,1,,,,9.462715,7.368,9.462715,7.368
Agha Steel Industries Ltd [100.0%],0.0,1,13.69,1,,,,24.841851,67.310159,24.841851,67.310159
Aichi Steel Corp [100.0%],0.0,1,82.0,1,,,,35.044558,136.900772,35.044558,136.900772
Ajaokuta Steel Co Ltd [100.0%],2610.0,1,,1,,,,7.511336,6.689364,7.511336,6.689364
Aktobe Generatsiya LLC [100.0%],1300.0,1,,1,,,,50.355117,57.145119,50.355117,57.145119
Al Atoun Steel Industries [100.0%],0.0,1,,1,,,,24.029,38.180077,24.029,38.180077
Al Ezz Dekheila Steel Company Alexandria SAE [100.0%],0.0,1,39.0,1,2018.0,2021.0,,31.123467,29.80987,31.123467,29.80987
Al Ezz Dekheila Steel Company Alexandria SAE [18.0%]; National Service Project Organization,0.0,2,8.0,1,,,,29.40006,31.764005,29.64769,32.2789
Al Qaryan Group [75.0%]; Al Wabel for Trading and Industry [25.0%],0.0,1,8.0,1,,,,26.280741,49.956755,26.280741,49.956755
Al Tanmiya Co; Al-Massira International Co; Astra Industrial Group Company SJSC,0.0,1,13.0,1,,,,30.218529,47.827362,30.218529,47.827362
Al Tuwairqi Holding Co,0.0,1,12.69,1,,,,24.789621,67.353238,24.789621,67.353238
AlGioshy Steel SAE [100.0%],0.0,1,10.0,1,,,,29.6752173,32.3028163,29.6752173,32.3028163
Algoma Steel Group Inc [100.0%],0.0,1,124.0,1,2024.0,,,46.518984,-84.374068,46.518984,-84.374068
Alton Steel Inc [100.0%],0.0,1,22.0,1,,,,38.884465,-90.14579,38.884465,-90.14579
Amirkabir Khazar Steel Co,0.0,1,2.0,1,,,,37.164815,49.595132,37.164815,49.595132
Amreli Steels Ltd [100.0%],0.0,1,14.0,1,,,,24.800326,67.504851,24.800326,67.504851
Anchorage Capital Advisors LP; Anchorage Capital Group LLC; Attestor Services Ltd; Deutsche Bank AG; GoldenTree Asset Management LP; Midwood Holdings LLC,0.0,5,104.0,3,2021.0,,,44.5370514,3.0124724,43.529693,-1.500971
Angang Steel Co Ltd [100.0%],0.0,3,21.38,1,,,,40.99523533333333,121.82794233333334,41.148267,122.983054
Anhui Guihang Special Steel Co Ltd [100.0%],0.0,1,15.44,1,,,,30.531068,117.251147,30.531068,117.251147
Anhui Jingxian Longxin Iron and Steel Co Ltd [100.0%],0.0,1,17.0,1,,,,30.709058,118.436638,30.709058,118.436638
Anhui Langxi County Fuhang Steel Co Ltd [100.0%],0.0,1,23.0,1,,,,31.246635,119.120443,31.246635,119.120443
Anhui Xinda Steel Development Co Ltd [100.0%],0.0,1,3.0,1,,,,31.763956,115.924372,31.763956,115.924372
Ann Joo Resources Bhd [100.0%],0.0,2,41.0,1,,,,4.211488,100.9573045,5.380391,100.377598
Anshan Baode Iron & Steel Co Ltd [100.0%],2395.0,1,26.29,1,,,,41.173613,122.945501,41.173613,122.945501
Ansteel Group Co Ltd [100.0%],13000.0,4,36.843333333333334,2,,,,20.45812725,107.75289225,26.565265,101.673737
Ansteel Group Co Ltd [46.5%]; Bengang Group Co Ltd [27.7%]; Liaoning Huida Enterprise Management Co Ltd [8.2%]; China Minmetals Corp [7.0%]; unknown [6.4%]; Beijing Jianlong Investment Co Ltd [2.9%]; Fushun State-Owned Assets Management Co Ltd [1.3%],0.0,1,23.43,1,,,,41.224814,123.608374,41.224814,123.608374
Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],0.0,1,24.0,1,,,,23.126822,113.505817,23.126822,113.505817
Anyang Iron & Steel Co Ltd [100.0%],0.0,1,67.0,1,,,,36.122129,114.283145,36.122129,114.283145
Anyang Iron & Steel Co Ltd [76.9%]; Zhoukou Investment Group Co Ltd [9.1%]; Henan Agric. Synthesis Exploitation Co Ltd [4.6%]; unknown [4.4%]; Sanmenxia Investment Group Co Ltd [2.4%]; Kaifeng Construction Lnvestment Co Ltd [1.2%]; Xinxiang Muye Development Management Co Ltd [0.9%]; Hoyer GmbH [0.2%]; China Logistics Group Co Ltd [0.1%]; Beijing Guanglong Enterprise Management Consulting Center LP [0.1%]; Guangxi Yingtongtong Investment Co Ltd [0.1%]; Huludao Hongyun Group Co Ltd [0.0%]; Sichuan Development Holding Co Ltd [0.0%]; Wuhan Industrial Investment Holding Group Co Ltd [0.0%]; Shihezi Shangde Equity Investment Partnership LP [0.0%],0.0,1,4.0,1,,,,33.364534,115.099661,33.364534,115.099661
Aperam SA,0.0,1,76.0,1,,,,-19.531272,-42.639979,-19.531272,-42.639979
Aperam SA [100.0%],0.0,2,52.0,1,2021.5,,,50.6744855,5.0219685,50.414998,4.532443
Arabian Gulf Steel Industries Selling Port LLC [100.0%],0.0,1,17.0,1,,,,24.283335,54.463384,24.283335,54.463384
ArcelorMittal Atlantique et Lorraine SAS [100.0%],14000.0,2,87.0,1,,,,50.186498,4.2180275,51.041274,2.292948
ArcelorMittal Hunedoara SA [100.0%],0.0,1,141.0,1,,,,45.735183,22.91627,45.735183,22.91627
ArcelorMittal SA [100.0%],20035.0,19,71.54388888888889,11,2022.2,2022.625,,38.82834747368421,-16.404104842105266,51.169929,3.804462
ArcelorMittal SA [60.0%]; Nippon Steel Corp [40.0%],5480.0,5,30.0,1,,,,19.9366314,81.6597356,21.112377,72.647304
ArcelorMittal SA [62.0%]; Invitalia SpA SpA [38.0%],0.0,1,60.0,1,2022.0,2022.0,,40.508993,17.207589,40.508993,17.207589
ArcelorMittal SA [95.1%]; small shareholder(s) [4.9%],1095.0,1,91.0,1,2020.0,,,47.874411,33.392993,47.874411,33.392993
ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],6574.0,6,52.0,1,,,,-18.793761,-43.635383,-3.585917,-38.858932
ArcelorMittal SA [99.8%]; small shareholder(s) [0.2%],5500.0,2,64.5,1,,,,43.539916500000004,-5.802258,43.525092,-5.731926
ArcelorMittal SA; small shareholder(s),0.0,2,78.0,1,,,,43.175717000000006,-2.6092945,43.03829,-2.219625
ArcelorMittal South Africa Ltd [100.0%],5300.0,3,53.0,1,,,,-29.114087666666666,25.286533666666667,-26.657367,27.82231
ArcelorMittal Tubarão Comercial SA [100.0%],6500.0,1,42.0,1,,,,-20.253447,-40.242298,-20.253447,-40.242298
Armada JSC [100.0%],0.0,1,83.0,1,,,,50.563131,136.976362,50.563131,136.976362
Arvand Jahanara Steel Co [100.0%],0.0,1,4.0,1,,,,30.510886,48.241356,30.510886,48.241356
Arvand Kaveh Steel Co [100.0%],0.0,1,8.0,1,,,,30.505458,48.272024,30.505458,48.272024
Asean Steel JSC [100.0%],0.0,1,,1,,,,12.59912,107.93922,12.59912,107.93922
Asia Pacific Investments Ltd; natural person(s),0.0,1,18.0,1,,,,52.334465,76.956302,52.334465,76.956302
Atha Group [47.5%]; Ghanashyam Misra & Sons Pvt Ltd [47.5%],1400.0,1,,1,,,,21.190313,81.19922,21.190313,81.19922
Azna Steel [100.0%],0.0,1,5.53,1,,,,33.464353,49.391373,33.464353,49.391373
BAP Al-Khair Steel Company [100.0%],0.0,1,,1,,,,27.49794789593726,49.18415539099505,27.49794789593726,49.18415539099505
BKM Mining Pvt Ltd [18.5%]; Twenty20 Securities Pvt Ltd [12.8%]; TRFI Investment Pvt Ltd [12.4%]; Saini Alloys Pvt Ltd [9.4%]; ICICI Bank Ltd [6.7%]; Industrial Promotion and Investment Corporation of Odisha Ltd [4.9%],0.0,1,30.0,1,,,,21.801994,85.56751,21.801994,85.56751
BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC [100.0%],0.0,1,41.0,1,2021.0,,,52.849321,29.988985,52.849321,29.988985
BNP Paribas SA; European Investment Bank; ING Groep NV; Kreditanstalt für Wiederaufbau; small shareholder(s); Société Générale SA,0.0,2,0.0,2,,,,53.134544500000004,9.00497,40.4637,-3.7492
BSRM Steels Ltd [100.0%],0.0,1,6.0,1,,,,22.873774,91.545562,22.873774,91.545562
Bafgh Mineral Complex Iron & Steel Co [100.0%],5000.0,1,12.0,1,2022.0,,,31.699307,55.440187,31.699307,55.440187
Baicheng Fuda Bar Rolling Co Ltd [100.0%],0.0,1,15.87,1,,,,45.593303,122.895588,45.593303,122.895588
Baku Steel Company QSC [100.0%],0.0,1,24.0,1,,,,40.43136,49.886867,40.43136,49.886867
Baku Steel Company QSC; China CAMC Engineering Co Ltd,0.0,1,,1,,,,40.721908,46.363526,40.721908,46.363526
Baldota Steel and Power Ltd [100.0%],0.0,1,,1,,,,15.332616,76.206778,15.332616,76.206778
Bangkok Steel Industry PCL [100.0%],0.0,1,52.0,1,,,,13.647672,100.553882,13.647672,100.553882
Bangladesh Steel Re-Rolling Mills Ltd [100.0%],0.0,1,9.28,1,,,,22.870631,91.545862,22.870631,91.545862
Bank of Industry and Mine (Iran); Tourism Financial Group,0.0,1,6.0,1,,,,29.289109,56.490707,29.289109,56.490707
Banka Finance & Securities Pvt Ltd [15.9%]; Atlanta Securities Pvt Ltd [15.6%]; natural person(s) [6.3%]; Sukanya Merchandise Pvt Ltd [5.5%]; Bonus Dealcom Pvt Ltd [5.5%],2400.0,1,12.0,1,,,,21.48619,81.771697,21.48619,81.771697
Baobab Steel Ltd [100.0%],4850.0,1,,1,,,,-15.724345,33.762664,-15.724345,33.762664
Baoshan Iron & Steel Co Ltd [100.0%],0.0,3,57.495,2,,,,18.098962,116.073824,31.41623,121.440087
Baoshan Iron & Steel Co Ltd [77.0%]; China Development Bank Corp [9.1%]; The China Orient Asset Management Co Ltd [7.0%]; Nanjing State-Owned Assets Investment & Management Holding (Group) Co Ltd [6.8%],0.0,1,56.0,1,,,,31.902969,118.61667,31.902969,118.61667
Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],14488.0,1,14.0,1,,,,21.056035,110.48657,21.056035,110.48657
Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd [100.0%],0.0,1,29.89,1,,,,43.852147,87.304639,43.852147,87.304639
Baotou Baoxin Special Steel Co Ltd [100.0%],0.0,1,18.17,1,,,,41.362925,110.988771,41.362925,110.988771
Baotou DA AN IRON&STEEL Co Ltd [100.0%],0.0,2,22.81,1,,,,40.688731000000004,109.75999300000001,40.715119,109.821653
Baotou Deshun Spec. Steel Co Ltd [100.0%],0.0,1,18.46,1,,,,40.9019,110.336253,40.9019,110.336253
Barz Group; Hend Steel Co,0.0,1,12.02,1,,,,36.115147,43.977052,36.115147,43.977052
Bashundhara Group Ltd,0.0,1,,1,,,,22.719278,91.470382,22.719278,91.470382
Beijing Dow Investment Holding Co Ltd [81.3%]; Minmetals Development Co Ltd [15.7%]; unknown [3.0%],0.0,2,3.22,1,,,,41.194528500000004,109.7742845,40.597557,109.683202
Beijing Fangda International Industrial Investment Group Co Ltd [60.9%]; unknown [21.5%]; Jiangxi Pxsteel Industrial Co Ltd [10.3%]; Gongqingcheng Huaershun Investment Center LP [7.3%],0.0,2,42.325,1,,,,28.7119905,115.088698,29.778431,116.27527
Beijing Fangda International Industrial Investment Group Co Ltd [69.3%]; unknown [24.6%]; China Cinda Asset Management Co Ltd [6.1%],4300.0,1,28.44,1,,,,31.18945,107.453099,31.18945,107.453099
Beijing Jianlong Investment Co Ltd [43.3%]; Guotao Co Ltd (Hong Kong) [38.9%]; Yushan (Beijing) Metallurgical Investment Co Ltd [12.1%]; unknown [5.7%],0.0,1,19.0,1,,,,39.861425,118.03667,39.861425,118.03667
Beijing Jianlong Investment Co Ltd [59.2%]; Inner Mongolia Yellow River Energy Technology Group Co Ltd [32.8%]; unknown [8.1%],0.0,1,14.0,1,,,,39.855971,106.886647,39.855971,106.886647
Beijing Jianlong Investment Co Ltd [63.2%]; Fushun State-Owned Assets Management Co Ltd [29.3%]; unknown [7.5%],0.0,1,19.91,1,,,,41.841223,123.753895,41.841223,123.753895
Beijing Jianlong Investment Co Ltd [81.3%]; unknown [12.9%]; Shengjing Bank Co Ltd [2.6%]; China Bohai Bank Co Ltd [1.3%]; Liaoshen Bank Co Ltd [0.4%]; Hua Xia Bank Co Ltd [0.4%]; China Merchants Bank Co Ltd [0.4%]; SDIC Capital Co Ltd [0.3%]; Everbright Financial Investment Co Ltd [0.2%]; Everbright Securities Co Ltd [0.1%]; Jingmen City Construction Investment Holding Group Co Ltd [0.0%]; Beijing Jiatai Hengye Investment Co Ltd [0.0%]; Jiangsu Yueda Group Co Ltd [0.0%]; Xinzheng TEDA Investment Co Ltd [0.0%]; Credit Suisse AG [0.0%]; Beijing Hongliheng Consulting Co Ltd [0.0%]; China Development Bank Corp [0.0%]; Hongtai Hengye Investment Co Ltd [0.0%]; Beijing Dongrunjuxiangshuwu Co Ltd [0.0%]; Guardian Investment HOLDINGS Co Ltd [0.0%]; Jiangsu Xinhong Investment Partnership LP [0.0%]; Yongjin Industry (Group) Co Ltd [0.0%]; Jiangsu Century New Town Investment Holding Group Co Ltd [0.0%]; Beijing Wudou Trading Co Ltd [0.0%]; Yunnan State Owned Financial Capital Holding Group Co Ltd [0.0%]; Shanghai Nanometer Venture Investment Co Ltd [0.0%]; Wuhan Huabing Real Estate Co Ltd [0.0%]; Beijing Zhijin Technology Investment Co Ltd [0.0%]; Beijing Tiandi Runda Advertising Co Ltd [0.0%]; Boao Investment Co Ltd [0.0%]; Wuhan Jiaxinghe Real Estate Co Ltd [0.0%]; Wuhan Xindi Chuangjia Decoration Engineering Co Ltd [0.0%]; Shenzhen Hehao Investment Co Ltd [0.0%],0.0,1,68.0,1,,,,47.191285,123.616512,47.191285,123.616512
Beijing Jianlong Investment Co Ltd [87.6%]; unknown [12.4%],0.0,3,36.156666666666666,1,,,,42.824814333333336,122.51998866666666,45.562002,126.968128
Beijing Jianlong Investment Co Ltd [90.2%]; unknown [9.8%],11645.0,6,19.88,1,,,,42.284826333333335,120.97632700000001,39.215452,106.688294
Beijing Jianlong Investment Co Ltd; Hiap Teck Venture Bhd; unknown,0.0,1,10.0,1,,,,4.285062,103.432551,4.285062,103.432551
Beijing Shougang Co Ltd [100.0%],0.0,2,21.5,1,,,,39.465183,118.53108900000001,38.953664,118.50339
